position	strand	score
-16303	+	5.309
-16295	+	10.897
-16244	+	5.309
-16236	+	10.897
-16184	+	8.017
-15797	+	5.254
-15750	+	5.572
-14882	+	6.695
-14772	+	6.505
-14300	+	5.353
-13123	+	9.031
-11570	+	5.572
-10876	+	6.186
-10779	+	6.821
-10244	+	8.452
-9816	+	6.675
-9751	+	8.017
-8014	+	5.136
-7310	+	5.572
-6556	+	8.043
-6308	+	6.286
-4721	+	5.309
-4065	+	5.309
-3988	+	6.297
-2795	+	5.572
-2728	+	10.111
-1554	+	5.163
-1400	+	5.545
-730	+	9.555
-473	+	5.163
10500	-	11.503
11002	-	6.821
11321	-	5.545
11404	-	7.257
11640	-	5.545
11868	-	8.017
11876	+	7.084
11891	-	7.084
12012	-	6.151
12029	-	7.725
12224	+	5.136
12294	-	5.309
12579	-	5.309
12676	-	10.307
13134	-	8.769
13305	-	5.777
13330	+	7.084
13460	+	6.297
13705	+	7.725
13867	+	7.493
13874	-	7.725
13996	-	6.505
14056	+	5.479
14241	-	7.084
14280	+	14.383
14639	+	5.163
15148	+	8.017
15304	-	6.186
15493	-	5.572
15789	-	5.981
16008	-	5.545
16115	-	6.151
16847	-	6.914
16851	-	6.297
16938	+	13.188
16977	+	8.043
16986	+	8.769
17362	-	5.283
17389	+	6.186
17406	-	7.725
17811	+	9.555
17908	-	8.233
18171	+	7.257
18282	-	5.254
18494	-	5.888
18548	-	11.503
18569	-	5.136
18640	+	5.254
19143	+	5.545
19481	+	6.297
19876	+	7.725
19915	+	5.283
20233	+	5.163
20953	-	8.452
21688	+	9.031
21782	+	6.529
21875	+	5.777
21878	-	5.309
22189	+	7.725
22291	-	5.163
22421	-	6.478
22599	-	5.163
22839	-	5.254
23779	+	11.912
23971	+	5.353
23984	-	8.043
24609	+	6.186
24846	-	11.503
24948	+	7.725
25224	+	7.725
25825	+	5.888
26097	+	7.725
26250	-	5.283
26346	-	6.186
26566	-	5.545
27096	+	8.017
27637	-	9.964
28503	+	6.695
29036	-	6.186
29163	+	5.777
29473	+	6.412
29489	-	7.725
29691	-	9.178
29707	+	5.777
29799	-	6.186
29817	-	11.649
29822	-	5.572
30303	+	5.283
30791	+	5.545
31480	-	5.163
31515	+	5.254
31968	-	5.309
32042	+	5.163
32098	-	5.777
32677	-	8.043
32795	+	6.186
33190	+	8.043
33577	+	8.769
34383	+	5.254
34496	+	5.888
35168	-	10.307
35360	+	10.716
35519	+	9.031
35714	-	8.426
35801	+	5.572
36092	+	7.725
36208	+	5.888
36231	+	5.254
37105	-	6.297
37401	-	5.981
37604	-	5.163
38132	+	6.186
38157	+	5.163
38251	+	5.981
38354	+	7.230
38451	+	5.136
39689	+	5.572
39715	-	5.309
40218	-	8.043
40541	+	6.478
41412	+	7.084
41456	-	10.111
42028	+	5.136
42143	+	7.084
42415	-	5.572
42602	+	5.545
42838	+	5.545
42896	+	5.888
43298	+	5.136
43457	+	5.545
43614	+	9.031
44780	-	6.821
45239	-	5.283
45571	-	5.136
45658	-	5.136
45777	-	5.572
46890	+	9.031
47133	+	6.186
47507	+	8.426
47850	+	8.769
47854	+	9.964
48558	+	5.545
49346	-	6.821
49456	-	9.359
50003	+	8.017
50473	-	5.136
50672	-	7.230
51087	-	9.031
51181	-	5.136
51411	+	9.555
51648	+	5.572
51712	+	7.493
51963	-	7.084
52431	-	5.136
52631	-	6.821
52679	-	6.151
53502	+	7.084
53517	-	5.136
53740	+	6.478
54034	+	7.084
54524	-	6.297
54590	-	5.283
54863	-	5.572
54971	-	7.493
55017	+	5.353
55256	-	10.111
55525	-	5.136
55916	+	5.163
56494	+	8.163
56579	-	8.426
56764	-	6.505
57034	+	7.084
57090	+	11.649
57104	+	8.426
57650	+	8.017
58237	+	6.821
58370	+	8.426
58480	+	5.762
58497	-	6.151
58550	-	6.821
59265	-	5.572
59274	+	9.359
59463	+	5.136
60387	-	7.084
60426	+	5.136
60481	-	9.178
60655	+	5.136
60939	-	7.493
61153	-	5.545
62630	-	5.545
62772	-	5.545
62954	+	5.136
63137	-	10.111
63152	-	6.675
63184	+	5.283
64342	+	5.545
64359	+	9.964
64610	-	9.964
64913	+	8.017
65121	+	5.888
65189	-	9.359
65570	+	6.297
65689	-	8.426
65724	-	6.478
66039	+	6.186
66673	-	8.017
66815	+	6.151
66897	+	8.426
66992	+	6.096
66995	-	7.230
67549	-	7.084
67718	+	6.151
67735	-	5.572
68141	-	5.163
69006	-	6.151
69258	-	9.178
69315	-	6.151
69542	+	6.821
69585	+	5.888
70662	+	8.769
71606	+	5.136
72565	+	5.136
73762	-	8.426
73785	-	9.031
73806	-	8.769
73895	+	9.964
74420	-	6.151
74536	-	5.136
75226	+	5.254
76266	+	6.675
76772	-	6.151
76886	+	6.297
76984	-	6.505
78351	+	9.031
78374	+	6.096
78483	-	5.136
78520	-	6.186
78652	+	5.136
78807	+	7.230
79339	-	5.254
79344	-	11.306
79442	-	5.254
80171	-	5.283
80890	-	5.309
81194	+	9.555
81573	+	7.493
81585	-	10.111
81639	-	6.069
82124	-	6.151
82600	+	6.478
84187	+	6.478
84850	+	5.136
85712	-	9.031
87654	+	5.163
87748	+	5.479
87942	-	5.353
88204	-	6.186
88389	+	5.254
88627	+	8.622
88718	-	9.031
88793	-	9.031
88864	-	9.031
88935	-	9.031
89177	+	6.821
89602	+	5.136
89631	-	5.163
90006	-	7.725
90044	-	11.649
90103	-	10.897
90154	-	5.309
90159	+	6.069
90162	-	10.897
90213	-	5.309
90218	+	6.069
90221	-	10.897
90272	-	5.309
90277	+	6.069
90280	-	10.897
90331	-	5.309
90336	+	6.069
90339	-	10.897
90390	-	5.309
90395	+	6.069
90398	-	10.897
90450	-	8.017
90466	+	8.233
90476	+	9.964
90837	-	5.254
90884	-	5.572
90984	+	5.572
91438	+	11.912
91752	-	6.695
91862	-	6.505
92274	+	5.163
92334	-	5.353
92563	+	6.505
93511	-	9.031
94633	+	8.426
95064	-	5.572
95481	+	5.545
95758	-	6.186
95855	-	6.821
96176	+	9.031
96390	-	8.452
96414	+	6.297
96818	-	6.675
96883	-	8.017
96935	+	7.427
96939	+	6.216
97133	+	5.981
98542	+	5.136
98620	-	5.136
98707	+	5.545
99324	-	5.572
99343	+	8.769
99734	+	5.136
100078	-	8.043
100083	+	6.505
100326	-	6.286
100581	+	9.555
100847	+	5.545
101111	+	5.163
101121	+	11.912
101819	+	6.186
101887	+	5.572
101913	-	5.309
102569	-	5.309
102646	-	6.297
102821	+	7.836
103062	+	10.488
103655	+	8.769
103813	+	5.309
103839	-	5.572
103906	-	10.111
104427	+	9.031
104727	+	6.096
105080	-	5.163
105234	-	5.545
105808	+	8.163
105904	-	9.555
106114	+	7.725
106161	-	5.163
106176	+	6.297
106190	+	6.478
106286	+	6.186
118510	-	7.084
118858	-	5.136
119964	-	7.084
120094	-	6.297
120339	-	7.725
120501	-	7.493
120690	-	5.479
120914	-	14.383
121273	-	5.163
121782	-	8.017
123572	-	13.188
123611	-	8.043
123620	-	8.769
124023	-	6.186
124445	-	9.555
124805	-	7.257
125274	-	5.254
125777	-	5.545
126115	-	6.297
126510	-	7.725
126549	-	5.283
126867	-	5.163
128322	-	9.031
128416	-	6.529
128509	-	5.777
128823	-	7.725
130413	-	11.912
130605	-	5.353
131243	-	6.186
131582	-	7.725
131858	-	7.725
132459	-	5.888
132731	-	7.725
133730	-	8.017
135137	-	6.695
135797	-	5.777
136107	-	6.412
136341	-	5.777
136937	-	5.283
137425	-	5.545
138149	-	5.254
138676	-	5.163
139429	-	6.186
139824	-	8.043
140211	-	8.769
141017	-	5.254
141130	-	5.888
141994	-	10.716
142153	-	9.031
142435	-	5.572
142726	-	7.725
142842	-	5.888
142865	-	5.254
144766	-	6.186
144791	-	5.163
144885	-	5.981
144988	-	7.230
145085	-	5.136
146323	-	5.572
147175	-	6.478
148046	-	7.084
148662	-	5.136
148777	-	7.084
149236	-	5.545
149472	-	5.545
149530	-	5.888
149932	-	5.136
150091	-	5.545
150248	-	9.031
153524	-	9.031
153767	-	6.186
154141	-	8.426
154484	-	8.769
154488	-	9.964
155192	-	5.545
156637	-	8.017
158045	-	9.555
158282	-	5.572
158346	-	7.493
160136	-	7.084
160374	-	6.478
160668	-	7.084
161651	-	5.353
162550	-	5.163
163128	-	8.163
163668	-	7.084
163724	-	11.649
163738	-	8.426
164284	-	8.017
164871	-	6.821
165004	-	8.426
165114	-	5.762
165908	-	9.359
166097	-	5.136
167060	-	5.136
167289	-	5.136
169588	-	5.136
169818	-	5.283
170976	-	5.545
170993	-	9.964
171547	-	8.017
171755	-	5.888
172204	-	6.297
172673	-	6.186
173449	-	6.151
173531	-	8.426
173626	-	6.096
174352	-	6.151
176176	-	6.821
176219	-	5.888
177296	-	8.769
178240	-	5.136
179199	-	5.136
180529	-	9.964
181860	-	5.254
182900	-	6.675
183520	-	6.297
184985	-	9.031
185008	-	6.096
185286	-	5.136
185441	-	7.230
187828	-	9.555
188207	-	7.493
189234	-	6.478
190821	-	6.478
191484	-	5.136
194288	-	5.163
194382	-	5.479
195023	-	5.254
195261	-	8.622
195811	-	6.821
196236	-	5.136
196793	-	6.069
196852	-	6.069
196911	-	6.069
196970	-	6.069
197029	-	6.069
197100	-	8.233
197110	-	9.964
197618	-	5.572
198072	-	11.912
198908	-	5.163
199197	-	6.505
201267	-	8.426
202115	-	5.545
202810	-	9.031
203048	-	6.297
203569	-	7.427
203573	-	6.216
203767	-	5.981
205176	-	5.136
205341	-	5.545
205977	-	8.769
206368	-	5.136
206717	-	6.505
207215	-	9.555
207481	-	5.545
207745	-	5.163
207755	-	11.912
208453	-	6.186
208521	-	5.572
209455	-	7.836
209696	-	10.488
210289	-	8.769
210447	-	5.309
211061	-	9.031
211361	-	6.096
212442	-	8.163
212748	-	7.725
212810	-	6.297
212824	-	6.478
212920	-	6.186
