=== Задание 7: CpG islands ===
start	end	R(CG)	GC%
10466	10666	1.070	70.0
10467	10667	1.070	70.0
10468	10668	1.095	70.5
10469	10669	1.054	70.5
10470	10670	1.056	70.5
10471	10671	1.054	70.5
10472	10672	1.054	70.5
10473	10673	1.056	70.5
10474	10674	1.080	71.0
10475	10675	1.066	71.5
10476	10676	1.080	71.0
10477	10677	1.079	71.0
10478	10678	1.077	71.0
10479	10679	1.063	71.5
10480	10680	1.101	71.5
10481	10681	1.087	72.0
10482	10682	1.102	71.5
10483	10683	1.101	71.5
10484	10684	1.077	71.0
10485	10685	1.077	71.0
10486	10686	1.092	70.5
10487	10687	1.092	70.5
10488	10688	1.092	70.5
10489	10689	1.052	70.5
10490	10690	1.092	70.5
10491	10691	1.092	70.5
10492	10692	1.133	70.5
10493	10693	1.092	70.5
10494	10694	1.092	70.5
10495	10695	1.133	70.5
10496	10696	1.133	70.5
10497	10697	1.134	70.5
10498	10698	1.133	70.5
10499	10699	1.132	70.5
10500	10700	1.173	70.5
10501	10701	1.157	71.0
10502	10702	1.157	71.0
10503	10703	1.180	71.5
10504	10704	1.180	71.5
10505	10705	1.180	71.5
10506	10706	1.180	71.5
10507	10707	1.181	71.5
10508	10708	1.164	72.0
10509	10709	1.203	72.0
10510	10710	1.186	72.5
10511	10711	1.202	72.0
10512	10712	1.202	72.0
10513	10713	1.202	72.0
10514	10714	1.202	72.0
10515	10715	1.202	72.0
10516	10716	1.186	72.5
10517	10717	1.187	72.5
10518	10718	1.170	73.0
10519	10719	1.208	73.0
10520	10720	1.191	73.5
10521	10721	1.228	73.5
10522	10722	1.228	73.5
10523	10723	1.212	74.0
10524	10724	1.249	74.0
10525	10725	1.212	74.0
10526	10726	1.249	74.0
10527	10727	1.249	74.0
10528	10728	1.249	74.0
10529	10729	1.269	74.5
10530	10730	1.253	75.0
10531	10731	1.253	75.0
10532	10732	1.272	75.5
10533	10733	1.271	75.5
10534	10734	1.271	75.5
10535	10735	1.271	75.5
10536	10736	1.255	76.0
10537	10737	1.238	76.5
10538	10738	1.273	76.5
10539	10739	1.273	76.5
10540	10740	1.273	76.5
10541	10741	1.275	76.5
10542	10742	1.258	76.0
10543	10743	1.258	76.0
10544	10744	1.258	76.0
10545	10745	1.243	76.5
10546	10746	1.228	77.0
10547	10747	1.211	77.5
10548	10748	1.247	77.5
10549	10749	1.230	78.0
10550	10750	1.263	78.0
10551	10751	1.246	78.5
10552	10752	1.244	78.5
10553	10753	1.278	78.5
10554	10754	1.261	79.0
10555	10755	1.293	79.0
10556	10756	1.276	79.5
10557	10757	1.275	79.5
10558	10758	1.306	79.5
10559	10759	1.291	80.0
10560	10760	1.291	80.0
10561	10761	1.307	80.5
10562	10762	1.290	81.0
10563	10763	1.276	80.5
10564	10764	1.276	80.5
10565	10765	1.278	80.5
10566	10766	1.261	81.0
10567	10767	1.292	81.0
10568	10768	1.292	81.0
10569	10769	1.292	81.0
10570	10770	1.294	81.0
10571	10771	1.280	80.5
10572	10772	1.280	80.5
10573	10773	1.298	80.0
10574	10774	1.301	80.0
10575	10775	1.304	80.0
10576	10776	1.286	80.5
10577	10777	1.290	80.5
10578	10778	1.286	80.5
10579	10779	1.290	80.5
10580	10780	1.286	80.5
10581	10781	1.283	80.5
10582	10782	1.299	81.0
10583	10783	1.296	81.0
10584	10784	1.330	81.0
10585	10785	1.312	81.5
10586	10786	1.312	81.5
10587	10787	1.328	82.0
10588	10788	1.331	82.0
10589	10789	1.301	82.0
10590	10790	1.331	82.0
10591	10791	1.328	82.0
10592	10792	1.343	81.5
10593	10793	1.328	82.0
10594	10794	1.331	82.0
10595	10795	1.313	82.5
10596	10796	1.343	82.5
10597	10797	1.325	83.0
10598	10798	1.340	82.5
10599	10799	1.343	82.5
10600	10800	1.343	82.5
10601	10801	1.340	82.5
10602	10802	1.340	82.5
10603	10803	1.337	82.5
10604	10804	1.352	82.0
10605	10805	1.352	82.0
10606	10806	1.352	82.0
10607	10807	1.335	82.5
10608	10808	1.335	82.5
10609	10809	1.322	82.0
10610	10810	1.322	82.0
10611	10811	1.322	82.0
10612	10812	1.337	82.5
10613	10813	1.320	83.0
10614	10814	1.352	83.0
10615	10815	1.352	83.0
10616	10816	1.352	83.0
10617	10817	1.355	83.0
10618	10818	1.355	83.0
10619	10819	1.358	83.0
10620	10820	1.332	83.0
10621	10821	1.347	82.5
10622	10822	1.332	83.0
10623	10823	1.318	83.5
10624	10824	1.332	83.0
10625	10825	1.336	83.0
10626	10826	1.322	83.5
10627	10827	1.304	84.0
10628	10828	1.319	84.5
10629	10829	1.333	84.0
10630	10830	1.333	84.0
10631	10831	1.309	84.0
10632	10832	1.304	84.0
10633	10833	1.309	84.0
10634	10834	1.304	84.0
10635	10835	1.322	83.5
10636	10836	1.298	83.5
10637	10837	1.298	83.5
10638	10838	1.268	83.5
10639	10839	1.298	83.5
10640	10840	1.298	83.5
10641	10841	1.286	83.0
10642	10842	1.286	83.0
10643	10843	1.300	82.5
10644	10844	1.274	82.5
10645	10845	1.288	82.0
10646	10846	1.293	82.0
10647	10847	1.280	82.5
10648	10848	1.274	82.5
10649	10849	1.305	82.5
10650	10850	1.274	82.5
10651	10851	1.305	82.5
10652	10852	1.305	82.5
10653	10853	1.286	83.0
10654	10854	1.316	83.0
10655	10855	1.298	83.5
10656	10856	1.327	83.5
10657	10857	1.309	84.0
10658	10858	1.304	84.0
10659	10859	1.333	84.0
10660	10860	1.309	84.0
10661	10861	1.304	84.0
10662	10862	1.309	84.0
10663	10863	1.304	84.0
10664	10864	1.322	83.5
10665	10865	1.298	83.5
10666	10866	1.298	83.5
10667	10867	1.268	83.5
10668	10868	1.298	83.5
10669	10869	1.298	83.5
10670	10870	1.286	83.0
10671	10871	1.286	83.0
10672	10872	1.300	82.5
10673	10873	1.274	82.5
10674	10874	1.288	82.0
10675	10875	1.288	82.0
10676	10876	1.288	82.0
10677	10877	1.283	82.0
10678	10878	1.297	81.5
10679	10879	1.284	81.0
10680	10880	1.284	81.0
10681	10881	1.284	81.0
10682	10882	1.284	81.0
10683	10883	1.298	80.5
10684	10884	1.280	81.0
10685	10885	1.276	81.0
10686	10886	1.292	81.5
10687	10887	1.288	81.5
10688	10888	1.319	81.5
10689	10889	1.307	81.0
10690	10890	1.303	81.0
10691	10891	1.272	81.0
10692	10892	1.286	80.5
10693	10893	1.290	80.5
10694	10894	1.262	80.5
10695	10895	1.262	80.5
10696	10896	1.235	80.5
10697	10897	1.248	80.0
10698	10898	1.253	80.0
10699	10899	1.226	80.0
10700	10900	1.239	79.5
10701	10901	1.239	79.5
10702	10902	1.212	79.5
10703	10903	1.207	79.5
10704	10904	1.244	79.5
10705	10905	1.244	79.5
10706	10906	1.244	79.5
10707	10907	1.244	79.5
10708	10908	1.212	79.5
10709	10909	1.244	79.5
10710	10910	1.244	79.5
10711	10911	1.244	79.5
10712	10912	1.244	79.5
10713	10913	1.231	80.0
10714	10914	1.226	80.0
10715	10915	1.245	80.5
10716	10916	1.240	80.5
10717	10917	1.253	80.0
10718	10918	1.226	80.0
10719	10919	1.239	79.5
10720	10920	1.212	79.5
10721	10921	1.225	79.0
10722	10922	1.230	79.0
10723	10923	1.203	79.0
10724	10924	1.197	79.0
10725	10925	1.203	79.0
10726	10926	1.197	79.0
10727	10927	1.216	78.5
10728	10928	1.182	78.5
10729	10929	1.176	78.5
10730	10930	1.210	78.5
10731	10931	1.176	78.5
10732	10932	1.210	78.5
10733	10933	1.210	78.5
10734	10934	1.192	79.0
10735	10935	1.225	79.0
10736	10936	1.225	79.0
10737	10937	1.192	79.0
10738	10938	1.225	79.0
10739	10939	1.225	79.0
10740	10940	1.225	79.0
10741	10941	1.225	79.0
10742	10942	1.212	79.5
10743	10943	1.207	79.5
10744	10944	1.226	80.0
10745	10945	1.221	80.0
10746	10946	1.234	79.5
10747	10947	1.207	79.5
10748	10948	1.220	79.0
10749	10949	1.192	79.0
10750	10950	1.205	78.5
10751	10951	1.205	78.5
10752	10952	1.189	78.0
10753	10953	1.184	78.0
10754	10954	1.168	77.5
10755	10955	1.181	77.0
10756	10956	1.186	77.0
10757	10957	1.152	77.0
10758	10958	1.165	76.5
10759	10959	1.178	76.0
10760	10960	1.147	76.0
10761	10961	1.142	76.0
10762	10962	1.183	76.0
10763	10963	1.165	76.5
10764	10964	1.200	76.5
10765	10965	1.213	76.0
10766	10966	1.178	76.0
10767	10967	1.173	76.0
10768	10968	1.191	75.5
10769	10969	1.178	76.0
10770	10970	1.178	76.0
10771	10971	1.165	76.5
10772	10972	1.165	76.5
10773	10973	1.165	76.5
10774	10974	1.165	76.5
10775	10975	1.165	76.5
10776	10976	1.147	76.0
10777	10977	1.147	76.0
10778	10978	1.117	76.0
10779	10979	1.111	76.0
10780	10980	1.153	76.0
10781	10981	1.135	75.5
10782	10982	1.135	75.5
10783	10983	1.104	75.5
10784	10984	1.098	75.5
10785	10985	1.141	75.5
10786	10986	1.104	75.5
10787	10987	1.117	75.0
10788	10988	1.117	75.0
10789	10989	1.086	75.0
10790	10990	1.079	75.0
10791	10991	1.123	75.0
10792	10992	1.104	75.5
10793	10993	1.117	75.0
10794	10994	1.117	75.0
10795	10995	1.098	74.5
10796	10996	1.098	74.5
10797	10997	1.117	74.0
10798	10998	1.098	74.5
10799	10999	1.136	74.5
10800	11000	1.117	75.0
10801	11001	1.136	74.5
10802	11002	1.136	74.5
10803	11003	1.143	74.5
10804	11004	1.123	75.0
10805	11005	1.104	75.5
10806	11006	1.117	75.0
10807	11007	1.136	74.5
10808	11008	1.117	75.0
10809	11009	1.141	75.5
10810	11010	1.141	75.5
10811	11011	1.111	75.5
10812	11012	1.104	75.5
10813	11013	1.111	75.5
10814	11014	1.111	75.5
10815	11015	1.099	76.0
10816	11016	1.069	76.0
10817	11017	1.069	76.0
10818	11018	1.081	75.5
10819	11019	1.092	75.0
10820	11020	1.092	75.0
10821	11021	1.081	75.5
10822	11022	1.081	75.5
10823	11023	1.081	75.5
10824	11024	1.069	76.0
10825	11025	1.069	76.0
10826	11026	1.069	76.0
10827	11027	1.032	76.0
10828	11028	1.069	76.0
10829	11029	1.069	76.0
10830	11030	1.069	76.0
10831	11031	1.081	75.5
10832	11032	1.050	75.5
10833	11033	1.062	75.0
10834	11034	1.081	74.5
10835	11035	1.069	75.0
10836	11036	1.062	75.0
10837	11037	1.073	74.5
10838	11038	1.042	74.5
10839	11039	1.042	74.5
10840	11040	1.061	74.0
10841	11041	1.050	74.5
10842	11042	1.042	74.5
10843	11043	1.042	74.5
10844	11044	1.053	74.0
10845	11045	1.053	74.0
10846	11046	1.053	74.0
10847	11047	1.065	73.5
10848	11048	1.026	73.5
10849	11049	1.065	73.5
10850	11050	1.026	73.5
10851	11051	1.037	73.0
10852	11052	1.037	73.0
10853	11053	1.044	73.0
10854	11054	1.044	73.0
10855	11055	1.004	73.0
10856	11056	1.044	73.0
10857	11057	1.044	73.0
10858	11058	1.004	73.0
10859	11059	1.044	73.0
10860	11060	1.044	73.0
10861	11061	1.011	73.0
10862	11062	1.004	73.0
10863	11063	1.023	72.5
10864	11064	1.011	73.0
10865	11065	1.011	73.0
10866	11066	1.011	73.0
10867	11067	0.979	73.0
10868	11068	0.971	73.0
10869	11069	1.020	73.0
10870	11070	1.009	73.5
10871	11071	1.009	73.5
10872	11072	0.998	74.0
10873	11073	0.998	74.0
10874	11074	0.988	74.5
10875	11075	1.007	74.0
10876	11076	0.996	74.5
10877	11077	1.005	74.5
10878	11078	0.995	75.0
10879	11079	0.995	75.0
10880	11080	0.995	75.0
10881	11081	1.005	75.0
10882	11082	0.985	75.5
10883	11083	1.015	76.0
10884	11084	1.015	76.0
10885	11085	0.976	76.0
10886	11086	1.015	76.0
10887	11087	0.995	75.5
10888	11088	0.995	75.5
10889	11089	0.976	76.0
10890	11090	0.995	75.5
10891	11091	0.995	75.5
10892	11092	1.025	76.0
10893	11093	1.015	76.0
10894	11094	1.054	76.0
10895	11095	1.044	76.0
10896	11096	1.054	75.5
10897	11097	1.044	76.0
10898	11098	1.054	75.5
10899	11099	1.065	75.0
10900	11100	1.065	75.0
10901	11101	1.056	75.0
10902	11102	1.067	74.5
10903	11103	1.027	74.5
10904	11104	1.038	74.0
10905	11105	1.019	74.5
10906	11106	1.058	74.5
10907	11107	1.069	74.0
10908	11108	1.030	74.0
10909	11109	1.041	73.5
10910	11110	1.041	73.5
10911	11111	1.069	74.0
10912	11112	1.069	74.0
10913	11113	1.081	73.5
10914	11114	1.049	73.5
10915	11115	1.049	73.5
10916	11116	1.049	73.5
10917	11117	1.078	74.0
10918	11118	1.069	74.0
10919	11119	1.097	74.5
10920	11120	1.097	74.5
10921	11121	1.077	75.0
10922	11122	1.116	75.0
10923	11123	1.107	75.0
10924	11124	1.089	74.5
10925	11125	1.089	74.5
10926	11126	1.109	74.0
10927	11127	1.097	74.5
10928	11128	1.118	74.0
10929	11129	1.078	74.0
10930	11130	1.118	74.0
10931	11131	1.087	74.0
10932	11132	1.087	74.0
10933	11133	1.108	73.5
10934	11134	1.089	73.0
10935	11135	1.089	73.0
10936	11136	1.100	72.5
10937	11137	1.080	72.0
10938	11138	1.069	72.0
10939	11139	1.069	72.0
10940	11140	1.069	72.0
10941	11141	1.059	72.0
10942	11142	1.071	71.5
10943	11143	1.037	71.5
10944	11144	1.049	71.0
10945	11145	1.070	70.5
10946	11146	1.070	70.5
10947	11147	1.082	70.0
10948	11148	1.060	70.5
10949	11149	1.051	70.5
10950	11150	1.083	71.0
10951	11151	1.104	70.5
10952	11152	1.104	70.5
10953	11153	1.127	70.0
10954	11154	1.127	70.0
10955	11155	1.115	70.5
10956	11156	1.104	70.5
10957	11157	1.104	70.5
10958	11158	1.136	71.0
10959	11159	1.124	71.5
10960	11160	1.124	71.5
10961	11161	1.103	71.0
10962	11162	1.115	70.5
10963	11163	1.070	70.5
10964	11164	1.115	70.5
10965	11165	1.115	70.5
10966	11166	1.115	70.5
10967	11167	1.115	70.5
10968	11168	1.147	71.0
10969	11169	1.136	71.0
10970	11170	1.126	71.0
10971	11171	1.117	71.0
10972	11172	1.108	71.0
10973	11173	1.108	71.0
10974	11174	1.121	70.5
10975	11175	1.121	70.5
10976	11176	1.100	71.0
10977	11177	1.112	70.5
10978	11178	1.125	70.0
10979	11179	1.090	70.0
10980	11180	1.082	70.0
10981	11181	1.082	70.0
10982	11182	1.082	70.0
10983	11183	1.075	70.0
10984	11184	1.032	70.0
10985	11185	1.075	70.0
10986	11186	1.082	70.0
10987	11187	1.070	70.5
10988	11188	1.062	70.5
10989	11189	1.075	70.0
10990	11190	1.032	70.0
10991	11191	1.044	69.5
10992	11192	1.064	69.0
10993	11193	1.044	69.5
10994	11194	1.057	69.0
10995	11195	1.044	69.5
10996	11196	1.044	69.5
10997	11197	1.044	69.5
10998	11198	1.001	69.5
10999	11199	0.995	69.5
11000	11200	0.995	69.5
11001	11201	1.026	70.0
11002	11202	1.008	70.5
11003	11203	1.020	70.0
11004	11204	1.038	69.5
11005	11205	1.044	69.5
11006	11206	1.026	70.0
11007	11207	1.026	70.0
11008	11208	0.983	70.0
11009	11209	0.995	69.5
11010	11210	0.989	69.5
11011	11211	1.032	69.5
11012	11212	0.995	69.5
11013	11213	1.007	69.0
11014	11214	1.007	69.0
11015	11215	1.001	69.0
11016	11216	1.014	68.5
11017	11217	1.014	68.5
11018	11218	1.014	68.5
11019	11219	1.001	69.0
11020	11220	0.996	69.0
11021	11221	0.992	69.0
11022	11222	1.005	68.5
11023	11223	1.005	68.5
11024	11224	1.005	68.5
11025	11225	1.005	68.5
11026	11226	1.001	68.5
11027	11227	1.005	68.5
11028	11228	1.001	68.5
11029	11229	0.984	69.0
11030	11230	0.981	69.0
11031	11231	0.966	69.5
11032	11232	0.963	69.5
11033	11233	0.963	69.5
11034	11234	0.950	70.0
11035	11235	0.948	70.0
11036	11236	0.963	69.5
11037	11237	0.950	70.0
11038	11238	0.950	70.0
11039	11239	0.948	70.0
11040	11240	0.977	70.5
11041	11241	0.990	70.0
11042	11242	0.990	70.0
11043	11243	0.990	70.0
11044	11244	0.990	70.0
11045	11245	0.977	70.5
11046	11246	0.977	70.5
11047	11247	0.964	71.0
11048	11248	0.924	71.0
11049	11249	0.936	70.5
11050	11250	0.950	70.0
11051	11251	0.936	70.5
11052	11252	0.909	70.0
11053	11253	0.909	70.0
11054	11254	0.907	70.0
11055	11255	0.879	69.5
11056	11256	0.879	69.5
11057	11257	0.882	69.5
11058	11258	0.842	69.5
11059	11259	0.840	69.5
11060	11260	0.851	69.0
11061	11261	0.849	69.0
11062	11262	0.862	68.5
11063	11263	0.849	69.0
11064	11264	0.860	68.5
11065	11265	0.872	68.0
11066	11266	0.872	68.0
11067	11267	0.871	68.0
11068	11268	0.840	67.5
11069	11269	0.852	67.0
11070	11270	0.865	66.5
11071	11271	0.865	66.5
11072	11272	0.878	66.0
11073	11273	0.878	66.0
11074	11274	0.891	65.5
11075	11275	0.878	66.0
11076	11276	0.878	66.0
11077	11277	0.891	65.5
11078	11278	0.891	65.5
11079	11279	0.878	66.0
11080	11280	0.877	66.0
11081	11281	0.877	66.0
11082	11282	0.843	65.5
11083	11283	0.843	65.5
11084	11284	0.843	65.5
11085	11285	0.844	65.5
11086	11286	0.843	65.5
11087	11287	0.831	66.0
11088	11288	0.831	66.0
11089	11289	0.831	66.0
11090	11290	0.819	66.5
11091	11291	0.785	66.0
11092	11292	0.785	66.0
11093	11293	0.738	66.0
11094	11294	0.750	65.5
11095	11295	0.750	65.5
11096	11296	0.738	66.0
11097	11297	0.738	66.0
11098	11298	0.773	66.5
11099	11299	0.761	67.0
11100	11300	0.750	67.5
11101	11301	0.794	67.5
11102	11302	0.782	68.0
11103	11303	0.783	68.0
11104	11304	0.771	68.5
11105	11305	0.729	68.5
11106	11306	0.739	68.0
11107	11307	0.728	68.5
11108	11308	0.739	68.0
11109	11309	0.729	68.5
11110	11310	0.686	68.5
11111	11311	0.696	68.0
11112	11312	0.696	68.0
11113	11313	0.686	68.5
11114	11314	0.686	68.5
11115	11315	0.685	68.5
11116	11316	0.643	68.5
11117	11317	0.643	68.5
11118	11318	0.609	68.0
11119	11319	0.609	68.0
11120	11320	0.618	67.5
11147	11347	0.609	68.0
11148	11348	0.609	68.0
16468	16668	0.611	51.5
16470	16670	0.609	51.5
16471	16671	0.620	51.0
16472	16672	0.608	51.5
16473	16673	0.608	51.5
16474	16674	0.608	51.5
19246	19446	0.609	64.5
19270	19470	0.606	64.0
19271	19471	0.600	64.5
19272	19472	0.618	64.5
26672	26872	0.611	51.5
26673	26873	0.600	52.0
26674	26874	0.600	52.0
26675	26875	0.600	52.0
26733	26933	0.622	54.0
26734	26934	0.622	54.0
26735	26935	0.612	54.5
26736	26936	0.613	54.5
26737	26937	0.626	54.0
26738	26938	0.628	54.0
26739	26939	0.618	54.5
26740	26940	0.631	54.0
26741	26941	0.621	54.5
26742	26942	0.608	55.0
26743	26943	0.618	54.5
26744	26944	0.628	54.0
26745	26945	0.618	54.5
26746	26946	0.615	54.5
26747	26947	0.603	55.0
26748	26948	0.603	55.0
26750	26950	0.603	55.0
26751	26951	0.613	54.5
26752	26952	0.624	54.0
26753	26953	0.635	53.5
26754	26954	0.622	54.0
26755	26955	0.621	54.0
26756	26956	0.610	54.5
26757	26957	0.610	54.5
26758	26958	0.665	55.0
26759	26959	0.665	55.0
26760	26960	0.677	54.5
26761	26961	0.677	54.5
26762	26962	0.664	55.0
26763	26963	0.664	55.0
26764	26964	0.653	55.5
26765	26965	0.705	56.0
26766	26966	0.705	56.0
26767	26967	0.705	56.0
26768	26968	0.705	56.0
26769	26969	0.706	56.0
26770	26970	0.694	56.5
26771	26971	0.681	57.0
26772	26972	0.681	57.0
26773	26973	0.681	57.0
26774	26974	0.694	56.5
26775	26975	0.682	57.0
26776	26976	0.682	57.0
26777	26977	0.682	57.0
26778	26978	0.682	57.0
26779	26979	0.671	57.5
26780	26980	0.671	57.5
26781	26981	0.671	57.5
26782	26982	0.671	57.5
26783	26983	0.671	57.5
26784	26984	0.682	57.0
26785	26985	0.695	56.5
26786	26986	0.695	56.5
26787	26987	0.695	56.5
26788	26988	0.695	56.5
26789	26989	0.695	56.5
26790	26990	0.644	56.0
26791	26991	0.644	56.0
26792	26992	0.655	55.5
26793	26993	0.668	55.0
26794	26994	0.601	55.0
26796	26996	0.610	54.5
26797	26997	0.610	54.5
28625	28825	0.914	50.5
28626	28826	0.973	51.0
28627	28827	0.949	51.5
28628	28828	0.964	51.0
28629	28829	0.941	51.5
28630	28830	0.941	51.5
28631	28831	0.941	51.5
28632	28832	0.941	51.5
28633	28833	0.926	52.0
28634	28834	0.926	52.0
28635	28835	0.926	52.0
28636	28836	0.926	52.0
28637	28837	0.912	52.5
28638	28838	0.919	52.5
28639	28839	0.919	52.5
28640	28840	0.919	52.5
28641	28841	0.972	53.0
28642	28842	0.957	53.5
28643	28843	0.957	53.5
28644	28844	0.935	54.0
28645	28845	0.950	53.5
28646	28846	0.950	53.5
28647	28847	0.928	54.0
28648	28848	0.928	54.0
28649	28849	0.914	54.5
28650	28850	0.900	55.0
28651	28851	0.900	55.0
28652	28852	0.886	55.5
28653	28853	0.933	56.0
28654	28854	0.933	56.0
28655	28855	0.913	56.5
28656	28856	0.933	56.0
28657	28857	0.933	56.0
28658	28858	0.920	56.5
28659	28859	0.906	57.0
28660	28860	0.842	57.0
28661	28861	0.861	56.5
28662	28862	0.873	56.0
28663	28863	0.861	56.5
28664	28864	0.920	56.5
28665	28865	0.906	57.0
28666	28866	0.950	57.5
28667	28867	0.930	58.0
28668	28868	0.930	58.0
28669	28869	0.910	58.5
28670	28870	0.910	58.5
28671	28871	0.897	59.0
28672	28872	0.910	58.5
28673	28873	0.892	59.0
28674	28874	0.892	59.0
28675	28875	0.892	59.0
28676	28876	0.892	59.0
28677	28877	0.845	58.5
28678	28878	0.845	58.5
28679	28879	0.845	58.5
28680	28880	0.840	58.5
28681	28881	0.824	59.0
28682	28882	0.824	59.0
28683	28883	0.820	59.0
28684	28884	0.820	59.0
28685	28885	0.820	59.0
28686	28886	0.808	59.5
28687	28887	0.811	59.5
28688	28888	0.811	59.5
28689	28889	0.811	59.5
